epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2665.6,0.56118,0.34593,0.88564,0.99974,1,0.995,0.88836,0.47216,0.26816,0.7782,0.00703,0.00703,0.00703
92,2694.44,0.56376,0.33875,0.88503,0.99967,1,0.995,0.86281,0.55384,0.27772,0.78552,0.006997,0.006997,0.006997
93,2723.46,0.57714,0.35028,0.88828,0.99984,1,0.995,0.88736,0.49342,0.2698,0.77813,0.006964,0.006964,0.006964
94,2754.12,0.57175,0.3454,0.88976,1,0.99976,0.995,0.90432,0.47765,0.26193,0.7778,0.006931,0.006931,0.006931
95,2784.33,0.56744,0.34398,0.88398,0.99983,1,0.995,0.90387,0.47805,0.26864,0.77576,0.006898,0.006898,0.006898
96,2812.86,0.56749,0.34457,0.88582,0.9999,1,0.995,0.90732,0.47325,0.25609,0.77493,0.006865,0.006865,0.006865
97,2842.39,0.55499,0.33419,0.88241,0.99983,1,0.995,0.91264,0.45772,0.26468,0.77365,0.006832,0.006832,0.006832
98,2872.53,0.55343,0.33182,0.87909,1,0.99993,0.995,0.89931,0.48132,0.26917,0.78212,0.006799,0.006799,0.006799
99,2900.25,0.56228,0.33408,0.88265,0.99979,0.99838,0.995,0.89684,0.49937,0.259,0.77883,0.006766,0.006766,0.006766
100,2930.98,0.56008,0.34015,0.88695,1,0.99986,0.995,0.88495,0.50751,0.27071,0.78304,0.006733,0.006733,0.006733
101,2958.91,0.56598,0.33875,0.88692,1,0.99987,0.995,0.89885,0.48537,0.26565,0.77859,0.0067,0.0067,0.0067
102,2988.67,0.56349,0.34257,0.88392,1,0.99981,0.995,0.87533,0.49909,0.26776,0.77955,0.006667,0.006667,0.006667
103,3016.6,0.55583,0.34197,0.88257,0.99985,1,0.995,0.88619,0.50161,0.26746,0.78175,0.006634,0.006634,0.006634
104,3045.89,0.55353,0.33295,0.88217,1,0.99983,0.995,0.88101,0.52981,0.26749,0.78242,0.006601,0.006601,0.006601
105,3075.21,0.54781,0.33355,0.87961,0.99974,1,0.995,0.88987,0.46439,0.26192,0.77423,0.006568,0.006568,0.006568
106,3105.32,0.55926,0.33334,0.88561,0.99987,1,0.995,0.88903,0.50627,0.26601,0.77766,0.006535,0.006535,0.006535
107,3132.99,0.54239,0.32947,0.88155,1,0.99998,0.995,0.90677,0.46846,0.25568,0.77518,0.006502,0.006502,0.006502
108,3164.06,0.54446,0.32804,0.88191,0.99803,0.99838,0.995,0.8937,0.49806,0.26325,0.77767,0.006469,0.006469,0.006469
109,3191.09,0.55189,0.32696,0.87974,0.99979,0.99838,0.995,0.89388,0.51123,0.27382,0.77993,0.006436,0.006436,0.006436
110,3222.23,0.55614,0.33206,0.88395,0.9998,0.99838,0.995,0.90166,0.48239,0.25543,0.77536,0.006403,0.006403,0.006403
111,3251.44,0.54458,0.32667,0.88299,0.99986,1,0.995,0.89549,0.49309,0.25745,0.77597,0.00637,0.00637,0.00637
112,3278.98,0.5504,0.32573,0.88196,0.99979,1,0.995,0.88365,0.51929,0.26714,0.77928,0.006337,0.006337,0.006337
113,3309.33,0.53828,0.32714,0.87804,0.99989,1,0.995,0.89105,0.51137,0.25699,0.78213,0.006304,0.006304,0.006304
114,3339.04,0.54353,0.32766,0.88099,1,0.99995,0.995,0.89574,0.48372,0.25792,0.77823,0.006271,0.006271,0.006271
115,3368.96,0.54168,0.33136,0.87812,1,0.99985,0.995,0.89487,0.50307,0.26232,0.77757,0.006238,0.006238,0.006238
116,3396.4,0.53861,0.32897,0.87633,0.99819,0.99838,0.995,0.8798,0.51673,0.26817,0.7808,0.006205,0.006205,0.006205
117,3427.63,0.53547,0.32633,0.87916,1,0.99981,0.995,0.89064,0.47949,0.25648,0.7766,0.006172,0.006172,0.006172
118,3457.54,0.54184,0.32227,0.87958,0.99989,1,0.995,0.90611,0.46443,0.24377,0.77215,0.006139,0.006139,0.006139
119,3484.96,0.54107,0.32679,0.87868,1,0.99985,0.995,0.89174,0.52154,0.25959,0.77892,0.006106,0.006106,0.006106
120,3514.84,0.52992,0.32178,0.87423,0.99984,0.99838,0.995,0.89412,0.48407,0.25017,0.77224,0.006073,0.006073,0.006073
121,3545.21,0.53775,0.31824,0.87789,0.99987,1,0.995,0.88119,0.53527,0.25837,0.78035,0.00604,0.00604,0.00604
122,3576.03,0.53576,0.32115,0.87939,0.99982,1,0.995,0.88092,0.49896,0.253,0.77487,0.006007,0.006007,0.006007
123,3602.58,0.53126,0.32152,0.87727,0.99986,1,0.995,0.89014,0.49135,0.24971,0.77935,0.005974,0.005974,0.005974
124,3631.1,0.54874,0.32726,0.88726,1,0.99984,0.995,0.89144,0.50993,0.25581,0.77957,0.005941,0.005941,0.005941
125,3661.48,0.54057,0.3255,0.8796,0.99986,1,0.995,0.89424,0.49027,0.24744,0.7767,0.005908,0.005908,0.005908
126,3689.86,0.52932,0.31382,0.87463,0.99985,1,0.995,0.90877,0.43846,0.23876,0.76848,0.005875,0.005875,0.005875
127,3718.96,0.52396,0.31522,0.87582,0.99986,0.99838,0.995,0.89495,0.45575,0.24189,0.76819,0.005842,0.005842,0.005842
128,3748.54,0.53607,0.31882,0.88122,1,0.99986,0.995,0.87378,0.52057,0.25918,0.77819,0.005809,0.005809,0.005809
129,3776.6,0.53422,0.31455,0.87517,0.99985,1,0.995,0.89948,0.49334,0.24565,0.77224,0.005776,0.005776,0.005776
130,3806.82,0.52838,0.31856,0.87591,0.99988,1,0.995,0.90359,0.48297,0.24033,0.77506,0.005743,0.005743,0.005743
131,3835,0.53083,0.32157,0.87812,0.99982,1,0.995,0.88575,0.50117,0.25247,0.78053,0.00571,0.00571,0.00571
132,3864.22,0.5352,0.31949,0.878,0.99986,1,0.995,0.90602,0.4779,0.2451,0.77687,0.005677,0.005677,0.005677
133,3892.49,0.53293,0.31512,0.87963,0.99968,0.99838,0.995,0.90347,0.49021,0.24954,0.77618,0.005644,0.005644,0.005644
134,3922.8,0.52205,0.31652,0.87717,0.99986,1,0.995,0.89732,0.49983,0.24638,0.78232,0.005611,0.005611,0.005611
135,3950.41,0.53208,0.31657,0.87828,0.99981,1,0.995,0.91656,0.43194,0.23567,0.76839,0.005578,0.005578,0.005578
136,3979.49,0.52129,0.31208,0.87335,0.99988,1,0.995,0.90317,0.47512,0.24353,0.77937,0.005545,0.005545,0.005545
137,4008.55,0.52074,0.31154,0.87657,0.99978,1,0.995,0.90143,0.47776,0.2432,0.77988,0.005512,0.005512,0.005512
138,4040.17,0.52283,0.31098,0.87585,0.99988,0.99838,0.995,0.89748,0.49428,0.24614,0.77725,0.005479,0.005479,0.005479
139,4068.41,0.51833,0.31032,0.8768,1,0.99998,0.995,0.90391,0.47758,0.24165,0.77453,0.005446,0.005446,0.005446
140,4099.42,0.52821,0.31246,0.87802,0.99984,1,0.995,0.91423,0.44557,0.23299,0.76903,0.005413,0.005413,0.005413
141,4126.27,0.51628,0.30781,0.87295,0.99985,1,0.995,0.89628,0.50103,0.24379,0.7796,0.00538,0.00538,0.00538
142,4155.85,0.52085,0.30645,0.87557,1,0.99999,0.995,0.89249,0.51563,0.24434,0.78056,0.005347,0.005347,0.005347
143,4186.35,0.51957,0.30904,0.87735,1,0.99986,0.995,0.89953,0.47999,0.24046,0.77627,0.005314,0.005314,0.005314
144,4215.58,0.52238,0.3101,0.87843,1,0.99986,0.995,0.90596,0.4527,0.23905,0.77111,0.005281,0.005281,0.005281
145,4245.16,0.52554,0.3048,0.87872,1,0.99987,0.995,0.90684,0.45962,0.23672,0.77472,0.005248,0.005248,0.005248
